CLIENT_IP,SERVER_IP
192.168.107.244,8.8.8.8
192.168.107.51,114.114.114.114
192.168.107.133,8.8.8.8
192.168.107.44,114.114.114.114
192.168.107.51,223.5.5.5
192.168.107.244,223.5.5.5
192.168.107.226,114.114.114.114
192.168.107.51,223.6.6.6
192.168.107.41,114.114.114.114
192.168.107.151,8.8.8.8
192.168.107.226,223.5.5.5
192.168.107.226,8.8.8.8
192.168.107.244,119.29.29.29
192.168.107.236,223.5.5.5
192.168.107.236,8.8.8.8
192.168.107.236,119.29.29.29
192.168.107.236,114.114.114.114
192.168.107.151,114.114.114.114
192.168.107.84,114.114.114.114
192.168.107.133,117.50.11.11
192.168.107.133,114.114.114.114
192.168.107.133,223.5.5.5
192.168.107.133,117.50.10.10
192.168.107.133,119.29.29.29
192.168.107.133,180.76.76.76
192.168.107.244,114.114.114.114
192.168.107.41,8.8.8.8
192.168.107.2,119.29.29.29
192.168.107.2,114.114.114.114
192.168.107.2,8.8.8.8
192.168.107.2,223.5.5.5
192.168.107.51,8.8.8.8
192.168.107.84,8.8.8.8
192.168.107.41,162.159.36.2
192.168.107.151,8.8.4.4
192.168.107.44,8.8.8.8
192.168.107.51,162.159.36.2
192.168.107.84,162.159.36.2
192.168.107.226,1.0.0.1
192.168.107.236,223.6.6.6
192.168.107.236,202.12.27.33
192.168.107.236,212.18.248.108
192.168.107.236,192.112.36.4
192.168.107.41,205.252.144.228
192.168.107.41,202.98.96.68
192.168.107.41,61.139.2.69
192.168.107.133,1.1.1.1
192.168.107.236,182.254.116.116
192.168.107.44,162.159.36.2
192.168.107.236,114.114.115.115
192.168.107.236,218.30.118.6
192.168.107.236,119.28.28.28
192.168.107.236,101.226.4.6
192.168.107.236,208.67.222.222
192.168.107.236,1.1.1.1
192.168.107.236,8.8.4.4
192.168.107.236,208.67.220.220
192.168.107.236,180.76.76.76
192.168.107.236,1.0.0.1
192.168.107.236,202.96.64.68
192.168.107.236,210.72.129.130
192.168.107.236,202.96.69.38
192.168.107.236,117.50.11.11
192.168.107.236,4.2.2.2
192.168.107.236,1.2.4.8
192.168.107.236,4.2.2.1
192.168.107.236,117.50.10.10
192.168.107.44,8.210.161.5
192.168.107.44,9.9.9.9
192.168.107.44,74.63.27.244
192.168.107.44,223.5.5.5
192.168.107.44,199.7.83.42
192.168.107.44,129.211.176.209
192.168.107.44,203.99.26.1
192.168.107.44,31.172.107.45
192.168.107.226,1.1.1.1
192.168.107.236,159.226.8.7
192.168.107.236,210.2.4.8
192.168.107.133,8.8.4.4
192.168.107.133,64.6.64.6
192.168.107.133,1.0.0.1
192.168.107.133,64.6.65.6
192.168.107.133,74.82.42.42
192.168.107.133,77.88.8.1
192.168.107.133,91.239.100.100
192.168.107.133,9.9.9.10
192.168.107.133,89.233.43.71
