CLIENT_IP,SERVER_IP
192.168.107.91,180.163.252.144
192.168.107.181,109.244.190.112
192.168.107.181,175.27.57.28
192.168.107.229,175.27.0.201
192.168.107.229,101.227.131.222
192.168.107.181,43.137.221.74
192.168.107.99,192.168.107.137
192.168.107.48,183.47.118.249
192.168.107.99,175.27.37.31
192.168.107.99,103.56.60.192
192.168.107.48,183.47.124.77
192.168.107.48,103.56.60.192
192.168.107.96,10.26.22.221
192.168.107.20,101.198.2.190
192.168.107.220,10.26.23.55
192.168.107.20,175.27.57.28
192.168.107.124,10.26.22.142
192.168.107.20,36.110.233.49
192.168.107.124,39.102.35.94
192.168.107.229,117.89.176.31
192.168.107.48,183.47.124.53
192.168.107.200,103.56.60.192
192.168.107.48,183.47.121.104
192.168.107.220,10.26.23.155
192.168.107.200,180.153.202.85
192.168.107.20,183.47.118.249
192.168.107.229,109.244.169.60
192.168.107.229,101.91.37.29
192.168.107.200,175.27.37.31
192.168.107.200,43.137.221.74
192.168.107.48,183.60.8.150
192.168.107.99,23.45.51.145
192.168.107.181,23.45.51.145
192.168.107.200,23.45.51.170
192.168.107.48,23.45.51.170
192.168.107.99,120.53.82.22
192.168.107.99,109.244.190.112
192.168.107.200,183.47.118.145
192.168.107.200,183.47.121.237
192.168.107.229,117.68.25.53
192.168.107.48,42.187.183.206
192.168.107.48,42.81.193.228
192.168.107.99,183.47.124.53
192.168.107.229,101.226.94.124
192.168.107.48,183.47.121.237
192.168.107.20,103.28.8.51
192.168.107.48,123.184.27.199
192.168.107.124,36.110.233.49
192.168.107.200,183.47.121.104
192.168.107.124,42.81.156.222
192.168.107.200,120.46.176.100
192.168.107.181,23.45.51.170
192.168.107.48,23.45.51.145
192.168.107.200,23.45.51.145
192.168.107.99,23.45.51.170
192.168.107.124,36.99.172.50
192.168.107.99,183.47.118.145
192.168.107.124,103.28.8.201
192.168.107.20,120.53.82.22
192.168.107.20,183.47.124.53
192.168.107.20,109.244.190.112
192.168.107.229,101.227.132.78
192.168.107.229,101.227.131.167
192.168.107.229,106.39.206.21
192.168.107.229,175.27.4.102
192.168.107.229,43.137.191.78
192.168.107.200,106.39.206.70
192.168.107.99,109.244.169.50
192.168.107.48,23.37.146.226
192.168.107.99,61.151.231.157
192.168.107.48,219.144.91.233
192.168.107.124,103.28.8.52
192.168.107.48,219.144.91.206
192.168.107.124,101.198.2.223
192.168.107.48,219.144.91.230
192.168.107.20,43.137.221.74
192.168.107.124,118.182.252.9
192.168.107.229,223.247.65.205
192.168.107.229,223.247.65.221
192.168.107.124,1.192.193.242
192.168.107.229,223.247.65.230
192.168.107.99,183.47.100.80
192.168.107.124,103.28.8.36
192.168.107.229,180.153.202.85
192.168.107.20,43.137.221.209
192.168.107.124,180.163.251.223
192.168.107.20,43.137.214.108
192.168.107.124,180.163.251.24
192.168.107.124,104.18.14.101
192.168.107.48,120.53.82.135
192.168.107.20,110.249.194.71
192.168.107.48,43.137.214.108
192.168.107.229,43.137.155.175
192.168.107.20,36.110.237.157
192.168.107.20,1.192.136.175
192.168.107.96,42.187.183.15
192.168.107.229,109.244.169.50
192.168.107.181,104.68.118.124
192.168.107.20,106.39.206.21
192.168.107.124,36.110.237.155
192.168.107.124,1.192.136.141
192.168.107.124,103.28.8.86
192.168.107.99,223.247.65.222
192.168.107.99,223.247.65.221
192.168.107.99,123.151.48.171
192.168.107.99,223.247.65.231
192.168.107.99,43.137.214.108
192.168.107.200,109.244.169.50
192.168.107.99,175.27.57.28
192.168.107.48,110.249.194.76
192.168.107.48,118.182.252.8
192.168.107.200,43.137.214.75
192.168.107.20,183.60.8.218
192.168.107.220,10.26.23.51
192.168.107.124,180.163.252.220
192.168.107.124,103.28.8.68
192.168.107.200,223.247.65.237
192.168.107.200,223.247.65.229
192.168.107.229,61.151.229.145
192.168.107.229,117.89.177.154
192.168.107.229,111.206.187.154
192.168.107.20,103.28.8.19
192.168.107.20,36.99.172.50
192.168.107.48,109.244.249.252
192.168.107.229,222.186.181.248
192.168.107.220,104.68.118.124
192.168.107.48,106.39.206.21
192.168.107.124,103.28.8.210
192.168.107.124,36.110.211.73
192.168.107.124,36.110.233.48
192.168.107.124,36.110.237.230
192.168.107.124,101.91.33.148
192.168.107.124,49.7.115.205
192.168.107.99,43.137.214.75
192.168.107.48,183.47.110.221
192.168.107.200,120.53.82.22
192.168.107.220,101.91.33.148
192.168.107.220,49.7.115.205
192.168.107.229,222.186.183.58
192.168.107.200,124.236.26.167
192.168.107.48,23.48.202.130
192.168.107.99,23.48.202.130
192.168.107.200,23.48.202.130
192.168.107.181,23.48.202.131
192.168.107.124,103.28.8.209
192.168.107.48,183.47.121.90
192.168.107.200,183.60.8.150
192.168.107.124,42.81.156.223
192.168.107.99,180.153.202.85
192.168.107.124,103.28.8.206
192.168.107.124,42.81.247.3
192.168.107.124,1.192.193.246
192.168.107.229,219.144.91.207
192.168.107.229,219.144.91.216
192.168.107.229,219.144.91.221
192.168.107.229,61.151.231.157
192.168.107.181,42.81.156.222
192.168.107.181,121.199.251.28
192.168.107.181,101.201.233.121
192.168.107.124,103.28.8.50
192.168.107.200,123.151.48.193
192.168.107.181,23.217.9.22
192.168.107.48,23.217.9.22
192.168.107.99,23.217.9.19
192.168.107.200,23.217.9.22
192.168.107.48,119.147.19.143
192.168.107.96,49.7.115.36
192.168.107.96,42.81.194.66
192.168.107.96,49.7.115.205
192.168.107.99,119.147.19.225
192.168.107.48,218.91.221.49
192.168.107.99,183.47.121.199
192.168.107.229,120.53.82.22
192.168.107.200,110.249.194.71
192.168.107.99,23.214.95.209
192.168.107.48,23.214.95.200
192.168.107.181,23.214.95.209
192.168.107.200,23.214.95.200
192.168.107.124,103.28.8.83
192.168.107.229,117.68.25.47
192.168.107.48,23.203.135.35
192.168.107.48,23.214.95.209
192.168.107.200,183.47.118.249
192.168.107.200,120.53.82.135
192.168.107.99,43.137.221.74
192.168.107.48,109.244.255.136
192.168.107.48,219.144.91.215
192.168.107.48,219.144.91.217
192.168.107.229,117.68.25.106
192.168.107.48,23.62.46.149
192.168.107.181,23.62.46.148
192.168.107.200,23.62.46.148
192.168.107.99,23.62.46.148
192.168.107.124,171.8.167.71
192.168.107.124,36.110.211.218
192.168.107.48,109.244.227.70
192.168.107.124,103.28.8.199
192.168.107.124,36.110.211.219
