CLIENT_IP,SERVER_IP
192.168.107.221,52.231.112.242
192.168.107.235,8.8.4.4
192.168.107.133,159.226.227.109
192.168.107.23,182.61.200.16
192.168.107.48,10.29.1.2
192.168.107.48,20.44.229.112
192.168.107.244,103.220.56.100
192.168.107.133,220.243.190.103
192.168.107.235,49.7.115.36
192.168.107.51,120.233.44.248
192.168.107.244,159.226.243.195
192.168.107.244,104.16.249.249
192.168.107.244,39.107.177.195
192.168.107.51,120.233.44.230
192.168.107.244,1.0.0.1
192.168.107.244,180.101.152.180
192.168.107.23,124.239.244.193
192.168.107.200,10.26.9.3
192.168.107.23,150.138.167.141
192.168.107.221,45.254.50.196
192.168.107.244,106.116.135.51
192.168.107.244,159.226.227.111
192.168.107.23,42.81.149.81
192.168.107.51,123.56.136.140
192.168.107.133,1.0.0.1
192.168.107.51,120.233.44.236
192.168.107.51,120.233.42.209
192.168.107.133,223.5.5.5
192.168.107.133,223.6.6.6
192.168.107.133,101.199.113.208
192.168.107.133,159.226.227.114
192.168.107.51,120.233.44.250
192.168.107.133,149.50.83.205
192.168.107.51,120.233.44.245
192.168.107.51,120.233.42.211
192.168.107.48,101.198.1.195
192.168.107.244,106.116.135.52
192.168.107.51,120.233.42.210
192.168.107.235,114.116.235.116
192.168.107.23,103.254.191.161
192.168.107.23,58.220.72.156
192.168.107.221,183.47.101.192
192.168.107.221,149.112.112.112
192.168.107.133,104.16.248.249
192.168.107.221,220.181.12.191
192.168.107.133,159.226.227.113
192.168.107.235,10.29.1.2
192.168.107.48,183.2.143.108
192.168.107.244,159.226.227.114
192.168.107.133,159.226.227.110
192.168.107.133,149.50.65.109
192.168.107.133,149.50.92.228
192.168.107.23,113.24.194.97
192.168.107.133,149.50.74.164
192.168.107.133,149.50.82.30
192.168.107.235,37.203.243.102
192.168.107.23,20.198.162.78
192.168.107.244,205.147.105.78
192.168.107.221,20.198.162.78
192.168.107.51,20.198.162.78
192.168.107.133,205.147.105.78
192.168.107.48,20.198.162.78
192.168.107.51,108.177.125.188
192.168.107.133,54.161.152.147
192.168.107.235,173.194.174.188
192.168.107.200,104.18.6.183
192.168.107.200,42.81.156.163
192.168.107.221,159.226.251.13
192.168.107.48,13.107.5.93
192.168.107.235,220.181.38.149
192.168.107.235,223.5.5.5
192.168.107.200,42.81.156.162
192.168.107.133,175.24.154.66
192.168.107.235,182.61.200.166
192.168.107.235,42.81.93.38
192.168.107.133,8.8.4.4
192.168.107.200,1.71.163.53
192.168.107.235,103.121.210.210
192.168.107.235,36.99.50.33
192.168.107.221,20.197.71.89
192.168.107.235,36.99.3.36
192.168.107.133,159.226.227.112
192.168.107.244,8.8.4.4
192.168.107.23,42.81.96.138
192.168.107.23,42.81.156.163
192.168.107.23,42.81.96.139
192.168.107.221,164.52.39.43
192.168.107.221,120.92.159.63
192.168.107.221,101.91.136.148
192.168.107.221,106.38.180.240
192.168.107.235,121.196.239.105
192.168.107.221,159.226.227.113
192.168.107.235,42.81.247.1
192.168.107.244,106.116.134.35
192.168.107.200,8.136.215.212
